id,occupancy_date,week_no,organization_name,shelter_name,shelter_city,facility_name,sector,occupancy,capacity
94,01/01/2017,1,Turning Point Youth Services,Turning Point Youth Services,Toronto,Turning Point Youth Services,Youth,35,35
95,01/01/2017,1,University Settlement,Univ Settlement House - OOTC,Toronto,U. Settlement OOTC-23 Grange Rd,Co-ed,63,75
96,01/01/2017,1,University Settlement,Univ Settlement House - OOTC,Toronto,U. Settlement OOTC-23 Grange Rd,Co-ed,6,10
97,01/01/2017,1,Woodgreen Red Door Family Shelter,Red Door Queen Street,Toronto,Red Door - 1430 Gerrad St E,Families,0,100
98,01/01/2017,1,YMCA of Greater Toronto,YMCA House,Toronto,Yhouse - Vanauley,Youth,40,40
99,01/01/2017,1,YMCA of Greater Toronto,YMCA Sprott House,Toronto,YMCA Sprott House Walmer Rd,Youth,24,25
100,01/01/2017,1,YWCA Toronto,YWCA - Beatrice House,Toronto,YWCA - Beatrice House,Families,0,0
101,01/01/2017,1,YWCA Toronto,YWCA - First Stop Woodlawn,Toronto,YWCA-80 Woodlawn Av. E.-Women,Women,28,28
102,01/01/2017,1,YWCA Toronto,YWCA - First Stop Woodlawn,Toronto,YWCA-80 Woodlawn Ave. E.-Youth,Youth,26,28
103,01/01/2017,1,Youth Without Shelter,Youth Without Shelter,Etobicoke,Youth w/o Shelter Emerg Shelter,Youth,33,33
104,01/01/2017,1,Youth Without Shelter,Youth Without Shelter,Etobicoke,Youth w/o Shltr Transitional Res,Youth,20,20
1787,02/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - Main Building,Families,148,110
3252,02/01/2017,1,COSTI Immigrant Services,COSTI Reception Centre,Toronto,COSTI Reception Centre,Co-ed,15,16
3253,02/01/2017,1,Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,Toronto,Christie Ossington Men's Hostel,Men,15,17
3254,02/01/2017,1,Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,Toronto,Christie Ossington Men's Hostel,Men,63,63
3255,02/01/2017,1,Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,Toronto,Christie Ossington South Hostel,Men,29,30
3256,02/01/2017,1,"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Toronto,Christie Refugee Welcome Centre,Families,64,76
3257,02/01/2017,1,City of Toronto,Birchmount Residence,Toronto,Birchmount Res 1673 Kingston Rd,Men,58,60
3258,02/01/2017,1,City of Toronto,Birkdale Residence,Toronto,Birkdale Residence,Families,169,160
3259,02/01/2017,1,City of Toronto,Birkdale Residence,Toronto,Birkdale Residence Motel (Fam),Families,118,150
3260,02/01/2017,1,City of Toronto,Downsview Dells,Toronto,Downsview Dells 1651 Sheppard W,Men,25,28
3261,02/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - AL site,Families,10,0
3262,02/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - CoEd Building,Co-ed,10,40
3263,02/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - GA Site,Families,0,0
3264,02/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - ID Site,Families,0,0
3265,02/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - LI Site,Families,179,252
3266,02/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - MA Site,Families,22,48
3267,02/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - Roycroft Site,Families,43,50
3268,02/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - TO,Families,50,20
3269,02/01/2017,1,City of Toronto,Fort York Residence,Toronto,Fort York Res 38 Bathurst St.,Men,0,19
3270,02/01/2017,1,City of Toronto,Fort York Residence,Toronto,Fort York Res 38 Bathurst St.,Men,74,74
3271,02/01/2017,1,City of Toronto,Fort York Residence,Toronto,Fort York Res 38 Bathurst St.,Men,24,24
3272,02/01/2017,1,City of Toronto,Robertson House,Toronto,Robertson House,Families,112,90
3273,02/01/2017,1,City of Toronto,S2H Assessment and Referral Ctre,Toronto,COTA,Men,2,2
3274,02/01/2017,1,City of Toronto,S2H Assessment and Referral Ctre,Toronto,S2H Assessment and Referral Ctre,Co-ed,36,40
3275,02/01/2017,1,City of Toronto,Seaton House,Toronto,Seaton House - 339 George Street,Men,28,28
3276,02/01/2017,1,City of Toronto,Seaton House,Toronto,Seaton House - 339 George Street,Men,27,27
3277,02/01/2017,1,City of Toronto,Seaton House,Toronto,Seaton House - 339 George Street,Men,73,80
3278,02/01/2017,1,City of Toronto,Seaton House,Toronto,Seaton House - 339 George Street,Men,231,240
3279,02/01/2017,1,City of Toronto,Seaton House,Toronto,Seaton House - 339 George Street,Men,18,42
3280,02/01/2017,1,City of Toronto,Seaton House,Toronto,Seaton House - 339 George Street,Men,112,120
3281,02/01/2017,1,City of Toronto,Women's Residence,Toronto,Womens' Res - 63 Bellwoods Ave.,Women,7,10
3283,02/01/2017,1,City of Toronto,Women's Residence,Toronto,Womens' Res - 674 Dundas St. W,Women,12,13
3284,02/01/2017,1,City of Toronto,Women's Residence,Toronto,Womens' Res - 674 Dundas St. W,Women,101,103
3285,02/01/2017,1,Cornerstone Place,Cornerstone Place,Toronto,Cornerstone 616 Vaughan Rd.,Men,50,50
3286,02/01/2017,1,Covenant House Toronto,Covenant House,Toronto,Covenant House-20 Gerrard St. E.,Youth,1,2
3287,02/01/2017,1,Covenant House Toronto,Covenant House,Toronto,Covenant House-20 Gerrard St. E.,Youth,93,94
3288,02/01/2017,1,Covenant House Toronto,Covenant House,Toronto,Covenant House-21 McGill Street,Youth,27,28
3289,02/01/2017,1,Dixon Hall,Dixon Hall - Heyworth House,Toronto,Dixon Hall - Heyworth House,Co-ed,9,9
3290,02/01/2017,1,Dixon Hall,Dixon Hall - Heyworth House,Toronto,Dixon Hall - Heyworth House,Co-ed,73,74
3291,02/01/2017,1,Dixon Hall,Dixon Hall - Schoolhouse,Toronto,Dixon Hall-School House,Men,44,44
3292,02/01/2017,1,Eva's Initiatives,Eva's Phoenix,Toronto,Eva's Phoenix,Youth,48,50
3293,02/01/2017,1,Eva's Initiatives,Eva's Place,North York,Eva's Place,Youth,37,40
3294,02/01/2017,1,Eva's Initiatives,Eva's Satellite,North York,Eva's Satellite,Youth,30,32
3295,02/01/2017,1,Eva's Initiatives,Eva's Satellite,North York,Eva's Satellite,Youth,1,1
3296,02/01/2017,1,Fife House Foundation,Fife House Transitional Program,Toronto,Fife House - Denison Program,Co-ed,5,5
3297,02/01/2017,1,Fife House Foundation,Fife House Transitional Program,Toronto,Fife-Sherbourne Transitional Pgm,Co-ed,11,11
3298,02/01/2017,1,Fred Victor Centre,FV Women's Transition to Housing,Toronto,Fred Victor 389 Church Street,Women,23,23
3299,02/01/2017,1,Fred Victor Centre,FV Women's Transition to Housing,Toronto,Fred Victor T2H 386 Dundas St. E,Women,37,37
3300,02/01/2017,1,Fred Victor Centre,Fred Victor Women's Hostel,Toronto,FV Women's Hostel 86 Lombard,Women,4,4
3301,02/01/2017,1,Fred Victor Centre,Fred Victor Women's Hostel,Toronto,FV Women's Hostel 86 Lombard,Women,34,42
3302,02/01/2017,1,Fred Victor Centre,"Fred Victor, BUS",Toronto,Fred Victor BUS - 1161 Caledonia,Co-ed,9,10
3303,02/01/2017,1,Fred Victor Centre,"Fred Victor, BUS",Toronto,Fred Victor BUS - 1161 Caledonia,Co-ed,60,60
3304,02/01/2017,1,Good Shepherd Ministries,Good Shepherd Centre,Toronto,Barrett House,Men,5,5
3305,02/01/2017,1,Good Shepherd Ministries,Good Shepherd Centre,Toronto,Good Shepherd Centre,Men,67,70
3306,02/01/2017,1,Good Shepherd Ministries,Good Shepherd Centre,Toronto,Good Shepherd Centre,Men,19,25
3307,02/01/2017,1,Homes First Society,HFS - Kennedy Shelter,Toronto,HFS - 702 Kennedy Shelter,Women,48,60
3308,02/01/2017,1,Homes First Society,HFS - Savard's Womens' Shelter,Toronto,HFS - Savard's Womens' Shelter,Women,26,30
3309,02/01/2017,1,Homes First Society,HFS - Scarborough Shelter,Scarborough,HFS - Scarborough Shelter,Co-ed,66,67
